 right 'b'and is held with side of fore-finger touching forehead and palm facingleftward/downward. the right forearm thendrops downward as the wrist rotates forwardcausing the palm to turn upward as the handcomes to rest on the left forearm.,Right hand: extended 8 Left hand: None
note —toward is genera yi nthe si n orof its ownu is ib t 'ncorporated in'gle sentence would be— asl translationp.p1p,Right hand: T Left hand: N
 rightextended 8 hand fingertipspointing leftward and slightly downwardpalm toward the body pats area below thestomach a couple of times.abdu,Right hand: 8 Left hand: None
 right open 8'and is held palm-up asmidfinger and thumb enclose wrist of left'standard base'and.,Right hand: extended 8 Left hand: None
 right 'extended 8'and palmdown with fingers pointing forward/leftwardgrazes top of horizontal left 's'and as theright hand is firmly swept leftward.slgn ¹3 [qntariq] edge of right extended8'andpalm facing left is brought downsmartly striking the upturned palm of the leftextended 8 hand. motion is repeated.abs,Right hand: 8 Left hand: None
 leftextended 8 hand is held in afixed position with palm facing rightwardand slightly downward and fingers pointingupward and slightly rightward. horizontalrightextended 8 hand is held palm downwith fingers pointing leftward and is used totap on the fingertips of the left hand a coupleof times.time-,Right hand: 8 Left hand: None
 verticalcrooked 5 hands are heldslightly apart with palms toward the face. thehands are then simultaneously lowered some-what and the head tilts to the right.(appropriate facial expression is important.)wo,Right hand: 5 Left hand: None
 right 'crooked v'and palm upwardis raised and overturned as it is brought down-ward extended fingertips coming to rest onupturned palm of leftextended 8 hand.(see also rise ¹3.)s,Right hand: 5 Left hand: None
 bunched fingertips of right 'o'andpalm down are placed on the upturned leftpalm. right hand opens to form an 'extendedb'andand is then tapped down smartly on theleft palm.wris,Right hand: 8 Left hand: None
clawed 5 hands are held apart in frontof the chest in an almost upright position butslanted slightly toward each other with palmsfacing the body. the forearms then move down-ward toward each other until the fingers mesh.107comment —common,Right hand: 5 Left hand: None
 right 'bent v'and is held with palmbackward and tip of middle finger justunder/to the right of the right eye. the hand isthen moved to the right and back so that it isjust above the right shoulder.return,Right hand: Middle finger Left hand: None
contracted 5 hands are held apartpalms facing and become 'flat o'ands asthey are brought together. this movementmay be vertical to represent a column of num-bers or horizontal to represent numbers in aleft to right sequence.,Right hand: 5 Left hand: None
 horizontal right 'open 8'and isheld with palm toward the chest and tips ofthumb and middle finger touching the centreof the chest. the hand then moves forward asthe thumb and middle finger close to form an'8'and.,Right hand: Middle finger Left hand: None
 fingertips of 'bent extended8'andare positioned at the mouth thenbrought forward and down as hand straight-ens to assume anextended 8 shape withpalm downward as it brushes firmly forwardacross the horizontal left 's'and.(asl concept —good - enough.),Right hand: 8 Left hand: None
 rightextended 8 hand is curvedunder left 'extended 8 palm to simulate'entrance'.4',Right hand: 8 Left hand: None
extended 8 hands are held palmsdown so that the right hand is above the leftand is brought down so that the fingertips aretapped on the back of the left hand. facialexpression must clearly convey 'caution'.4',Right hand: 8 Left hand: None
 fingertips of bent extended 8 handspalms facing the body are brushed upwardagainst the chest.,Right hand: extended 8 Left hand: None
 right 'x'and is held palm-up withforefinger tightly crooked and tip of thumbrepeatedly scraping downward against tip offorefinger.,Right hand: T Left hand: None
 'extended 8'ands are held parallelwith palms down and fingers pointingforward/rightward. the hands are then drawnsimultaneously leftward/backward as theyclose to form 'a'or extended a') hands.,Right hand: 5 Left hand: None
0 vertical right 't'and is held withpalm forward and appears to wobble fromside to side as the wrist twists. (when takeafter means 'to resemble in terms of appear-ance' see look like.)take care o,Right hand: extended 8 Left hand: None
 right 'a'and palm facing thebody is rubbed on the chest with a circularmotion which in the eyes of onlookersappears clockwise.after a,Right hand: Middle finger Left hand: 8
 thumb of vertical right 'i.'and palmforward is rested against right-facing palm ofvertical leftextended 8 hand. the rightwrist then bends to turn the right hand palmdownward so that the forefinger eventuallypoints forward.11aftermath —agent,Right hand: 8 Left hand: None
 right 'crooked 5'and is held withpalm facing left and tip of forefinger touchingor near end of nose while left 'crooked5'andpalm facing right is held just in frontof(below right hand. the hands eventuallyassume 'a'hapes as they brush past oneanother the right hand moving downward/forward and the left hand moving upward/backward. appropriate facial expression isimportant.s,Right hand: 8 Left hand: None
 [atlantic] the back of the fingers ofthe right bent extended 8 hand palmtoward the body are placed under the chinand brushed forward lightly a couple of times.,Right hand: extended 8 Left hand: None
 rightbent extended 8 hand palmup is overturned and brought downward sothat the fingertips touch the upturned palm ofthe leftextended 8 hand.,Right hand: extended 8 Left hand: None
which incorporates many parts of the sen-tence. to translate the sample sentence intoasl a single,Right hand: extended A Left hand: None
extended 8 hands held parallel withpalms facing one another and fingers pointingforward are simultaneously moved forward.(when referring to an aisle flanked by highstructures such as in a supermarket verticalrather than horizontal 'extended b handsare used to make this,Right hand: 8 Left hand: None
