input_text	target_text
 rightextended b hand palm down iscurved under downturned palm of leftextended b'alm to simulate entrance.abus	extended-B
 fingers of palm-up rightbentextended b'and point leftward as they reston rightward-pointing fingers of palm-up left'bent extended b'and. the arms are simul-taneously moved from side to side as ifrocking a baby in one's arms.	bent-extended-B
 vertical right 'b'and palm facing leftand side of forefinger touching left cheek ismoved to the corresponding position on theright cheek.back	B1
 thumbs of 'c'ands palms facing eachother are tapped on the shoulders.	C
 right 'a'or 'extended a') handpalm facing the body is rubbed on the chestwith a circular motion which in the eyes ofonlookers appears clockwise. a look of sym-pathy accompanies this	extended-B
 tip of middle finger of rightbentmidfinger 5'and palm facing downwardtraces a circle at the top of the head.	bent-midfinger-5
 right bent b (or 'b') hand fingerspointing left and palm facing body is rotatedcontinuously forward around left bent b (or'b') hand whose fingers point right and palmfaces the body.same	B1
ation or place ofresidence. she put her new address on theenvelope.	extended-A
 [atlantic] fingertips of the rightflat 0'and palm down are used to touchthe top of the horizontal left 's'and whosepalm faces the body. the movement isrepeated twice.	extended-B
 right 'extended 8'and is heldwith palm against chest and is brought for-ward so that the palm faces upward at a slightangle toward the body. alternatively this	extended-B
may be made with two hands beginning withone at either side of the chest.admonish — (in) advance	extended-B
 horizontal left 'extended a'and isheld in a fixed position with palm facingright. right 'extended a'and palm facingdown is twisted so that the palm faces left asit is brought forward to make contact with lefthand just below the thumb.37see ﬁrst version at	extended-A
 horizontal 'c'ands are held apartwith palms facing each other. the hands arethen simultaneously raised to indicate theheight of the pail. (	C
 vertical right 'a'and palm forward isheld at shoulder level and appears to knockslightly while moving a little to the right as itfingerspells aa.	combined-ILY
 horizontalextended a hands palmsfacing the body are held slightly apart andrubbed up and down simultaneously againstthe chest.	extended-A
 right 'a'and palm facing forwardtwists at the wrist as it is moved smartly tothe left taking on an 't'hape with palm fac-ing the body. this	extended-B
 vertical right 'one'and palm facingthe body is moved in a small counter-clockwise circle.	1
 fingertips of 'spread c'ands areplaced on either side of face palms facingeach other then curved downward along jaw-lines to outline shape of beard. (	Spread C
 head tilts slightly to the right supportedby right 'extended b'and which is heldagainst right side of face.45bedridden — beerbedl'i	extended-B
clawed 5'ands palms toward bodyfingertips touching chest are swept vigor-ously upward/outward. facial expression mustclearly convey 'anger'. (the	clawed-extended-5
 rightextended a'and palm facingthe body is twisted from the wrist so that thepalm faces forward/downward.21anyhow-apathy	extended-A
 horizontalbent extended b'andspalms facing chest and knuckles almosttouching each other are drawn apart.	bent-extended-B
 left extended b'and is held in afixed position with palm down and fingerspointing rightward. forefinger of rightone'andis protruded upward between forefingerand midfinger of the left hand. then the righthand is pulled down firmly.or	bent-extended-B
 thumbs and forefingers of bothmodified g (or clawed i.') hands (depend-ing on width of belt) are held in front of waistpalms toward body and moved together tosimulate the fastening of a belt buckle.ben	modified-g
 'flat 0'ands are held with fingertipstouching each other and palms facing.fingertips still touching are moved towardbody to form the point of a 'v'reated as backsof fingers of each hand are brought closertogether and palms face body. (	flat-O
a hands are placed on the left side ofthe chest palms facing the body with theright hand above the left. then they aresimultaneously moved forward and back totap twice against the body.aro	A
 right 'a-index hand is held at an anglewith palm facing partially upward and par-tially toward the body. the forearm is thenbrought smartly downward toward the bodywith the hand taking on a closeda-index'hapeas the thumb and forefinger areretracted. motion is repeated. (benefits isfrequently fingerspelled.)	F
a hands palms facing are held close toone another and moved alternately back andforth. this is a wrist movement. agent ending(see p liv) may follow.(pay) attentio	A
 horizontal right 'a'and is held withpalm toward the left shoulder. the wrist thenrotates to turn the hand palm down as itmoves backward a short distance so that thethumb pokes into the shoulder.attti	A
 right niodified g hand is held at chinpalm facing forward while thumb and fore-finger are opened and closed at least twice tosimulate the movement of a bird's beak.	modified-g
 tip of forefinger of rightbentone'andpalm down is drawn across foreheadfrom left to right. in the process the wristturns so that the forefinger which originallypoints leftward eventually points backward.	bent-1
 'bent extended b'ands are held apartjust in front of the upper chest with palmsdown and fingers pointing forward but towardeach other slightly. the hands are then turnedinward from the wrists so that the fingertipstouch the chest. alternatively this	bent-extended-B
 'bent 8'ands are held palms downwith right hand slightly above left. fingers ofleft hand point right while fingers of righthand point left. the hands are then simultane-ously given quarter-turn twists forward andback from the wrists. (for vertical blinds seeverticals.)	Bent-B
 horizontal 'k'or 'v') hands are heldright above left with extended fingers point-ing forward the left palm facing rightwardand the right palm facing leftward. the handsare brought together to strike each other acouple of times. facial expression is important.	K
 'bent 5'ands palms up and fingersfluttering are alternately circled upward andforward.bo	bent-5
 's'ands are held with wrists crossedand palms down the right hand nearest thebody. then both hands are thrust upwardforcefully so that the palms face each other.	S
 's'or 'clawed v') hands palms facingchest are crossed at the wrists with the righthand nearest the body. the back of the rightwrist is tapped twice against the left wrist.(bone is frequently fingerspelled.)	S
 left arm is folded in front of chest asright 's'and is lowered palm down onto leftarm near the elbow. then left 's'and is simi-larly placed on right arm near the elbow.finally the arms are both raised simultane-ously so that the 's'ands become uprightwith palms facing. (this	S
 vertical rightflat f hand palm facingleft is held near the right corner of the mouthand is drawn backward/rightward severaltimes.	flat-F
 rightx (or crooked one ) hand isheld in a horizontal position with palm facingupward but angled slightly toward the body.the back of the forefinger is used to brushlightly backward several times in the crook ofthe bent elbow of the left arm which is heldloosely near the left side of the body.	X
a hands palms down are held slightlyapart and are then firmly pushed a very shortdistance downward. (chance is frequentlyfingerspelled.)	A
 left 'crooked 5 hand is held palm-upwith fingers pointing forward while right'crooked 5'and is held apart and slightlyhigher with palm down and fingers pointingforward. the arms are then simultaneouslymoved upward/rightward as the hands arepurposefully twisted rightward from the wristso that the left palm faces right and the rightpalm faces left.	crooked-5
extended 8 hands are held with palmsfacing down the left above the right the fin-gers of the left hand pointing right and thoseof the right hand pointing left. the right handis moved up and down slightly.6obounce — boxboun	extended-B
extended a'ands palms facing down-ward are placed at either side of waist and arealternately moved away from the body andthen toward the body so that the thumbs jabthe	extended-A
 fingers of 'crooked 5'ands palmsdown interlock slightly and then drop downso that backs of fingers are almost touching.63breakfast — bridgebreakfas	crooked-5
 horizontal '5'ands are held rightabove left with palms facing the chest and aremoved forward and back. (	5
extended 8 hands are held parallelwith palms up in front of the left side of thebody. then they are simultaneously moved ina slight arc to the right.+t'	extended-B
 [atlantic] thumbtip of right hori-zontal 'modified 5'and palm facing left isheld at the tip of the nose. the right hand isthen lowered as the wrist rotates to turn thepalm downward and the thumb strikes down-ward against the thumb of the left horizontalmodified 5 hand of which the palm facesright. facial expression is important.slgn ¹2 [qntariq] left forearm is bent sothat it is held in front of the chest while theright 'crooked l'and palm facing back-ward is tapped against the left elbow. this	modified-5
is accompanied by a lip pattern such asthat used to produce an 'sh'ound.	crooked-L
 [pacific] tip of forefinger of right'crooked one'and palm facing the body istapped against the chin several times. facialexpression is important.or	crooked-1
is accompanied by anappropriate facial expression and a lip patternsuch as that used to produce an 'sh'ound.che	1
 heel of right 'spread extended c'andis placed on heel of left spread extended chand and the hands are twisted back andforth a few times in opposite directions.	crooked-5
vertical right one hand is held with tipof forefinger just in front of the right ear. thehand is then lowered so that the tip of theforefinger touches the right side of the mouth.next horizontal left 'i'and is held with palmfacing the chest at a rightward angle whilehorizontal right 'i'and is held just above itwith palm facing the chest at a leftward angle.the hands are then tapped together a coupleof times.(asl concert — deaf - school)	extended-B
 leftextended 8 hand is held in a fixedposition with palm facing upward but slantedtoward the body slightly while the fingerspoint rightward/forward. edge of rightextended 8'and palm facing left and fin-gers pointing forward is used to simulate achopping motion on the left palm.	extended-B
 back of right 'bent r'and with palmfacing forward/downward and extendedfingers pointing forward is tapped againstright side of chin twice. (	bent-R
clawed v hands palms down areheld apart in front of the chest one handheld higher than the other. the hands arethen circled forward.alternate	clawed-V
 left 'extended b'and is held in afixed position with palm up and fingers point-ing forward/rightward. vertical rightone'andis held above/behind left hand with palmfacing forward/leftward. the head falls forwardas the right forearm then drops forward/downward so that the right hand comes torest palm-down in the palm of the left hand.(in this context the right 'one'and representsa person who is originally standing and thenfalls over.	extended-A
s vary depending on whether ornot someone is standing or sitting or whetherthe reference is to a person or an animal.)co	L
 horizontal right 's'and palm fac-ing leftward but angled toward the body isheld on top of the horizontal left 's'and ofwhich the palm faces right. the right handthen makes small circular counter-clockwisemotions as if grinding coffee beans.or	S
 right 'c'and is held upright withpalm facing forward/leftward and is wobbledslightly.	C
 right spread extended c hand palmtoward the head is held at the right side ofthe head at an upright/forward angle and ismoved backward/downward twice as if comb-ing the hair.same	crooked-5
 thumbtip of vertical right'extended c'and palm facing left isplaced against the left shoulder. the handis then moved in an arc to take up the sameposition at the right shoulder.alternate	Extended-C
 vertical 'c'ands with left palm facingright and right palm facing left are movedback and forth simultaneously but in oppositedirections in front of the neck/chin area.same	C
f hands with palms facing each otherare held apart in front of chest and are simul-taneously lowered.same	F
 vertical 'spread c'ands are held apartwith palms forward and are simultaneouslycircled outward in opposite directions theright hand moving clockwise and the lefthand moving counter-clockwise.same	Spread C
 right 'u'and palm facing left is heldin a vertical position so that the side of theforefinger touches the middle of the forehead.then the hand is moved forward away fromthe head.	U
 vertical '5'ands palms forward butfacing slightly are placed at either side of thehead thumbs on the forehead. the arms arethen moved slightly so that the thumbs tapgently against the forehead.defa	5
 horizontal right 'extended a'and ismoved back and forth either from left to rightwith palm facing left or forward and backwith palm facing body.+t'	extended-A
 vertical right 'c'and palm facingforward/leftward slides back and forth alongleft forearm.or	C
 thumb of vertical rightextendedc'andpalm facing left is held at right side offorehead and the forearm is moved veryslightly back and forth a couple of times.'113comrade — conceiveco	Extended-C
 right 'a'and is brought to the lipswith the thumb pointed upward and the palmfacing left. then the lips are touched twicewith the thumbnail.alternate	A
 'extended a'ands are held side byside with palms down and right thumbtippressing against left thumbnail as the handsare moved purposefully forward.	extended-A
 tip of joined thumb and forefingerof horizontal right 'f'and (or tip of thumbof 'extended k'and) palm toward the faceis held at the end of the nose. the wrist thentwists to turn the hand palm-downward.motion may be repeated once or twice.	1
 left extended 8'and is held in afixed position with palm up and fingers point-ing rightward/forward. right 'extendedb'andpalm facing left is held on the left palmwith fingers pointing forward. the right handthen moves backward in a zigzag patternacross the palm of the left hand. (	extended-B
 'spread c'ands are held right aboveleft palms facing each other with fingertipstouching. they are then moved apart andback together again to simulate the openingand closing of a crocodile's jaws.	Spread C
 horizontal right 'x'and palm downis held in front of the mid-forehead and isshaken up and down from the wrist.same	bent-extended-B
 horizontal right 's'and brushes down-ward at least twice against the left underarmas if applying a stick or roll-on deodorant.(an 'x'andshape is held near the underarmto simulate the spraying on of deodorant. lfthe deodorant is for 'other than underarmuse'	S
 liight 'bent extended b hand is heldwith palm facing down and fingers pointingforward/downward. the forearm is thenthrust downward/forward.	bent-extended-B
may be made with two hands one at eitherside of the forehead.	crooked-extended-V
 right 'extended k'and palm downand forefinger pointing forward is heldabove the left. standard base hand. thehands move back and forth several times inopposite directions the right hand movingforward while the left hand moves backwardthe right midfinger flicking it lightly duringeach movement.	extended-B
 forefingers of 'one'ands are crossed.the hands are then turned outward so that theybecome vertical with palms facing forward.same	1
 fingertips of vertical right modified0'andpalm facing backwards are tappedagainst the mouth twice.dinos	modified-O
 right modified 5 hand is held underchin with palm down as the fingers flutter.	modified-5
 f'ands are held slightly apart withpalms down and are simultaneously movedup and down to simulate dipping an articleinto a dye-bath.&94dying —dyslexia	F
