Hanshape Name,slot2,slot3,slot4,slot5,slot6,slot7,slot8,slot9,slot10,slot11,slot12,slot13,slot14,slot15,slot16,slot17,slot18,slot19,slot20,slot21,slot22,slot23,slot24,slot25,slot26,slot27,slot28,slot29,slot30,slot31,slot32,slot33,slot34
1,O,=,i,i,fr,d,∅,/,b,m,-,2,-,-,1,E,E,E,<,2,F,F,F,=,3,F,F,F,=,4,F,F,F
3,L,{,E,E,-,-,∅,/,-,-,-,-,-,-,1,E,E,E,{,2,E,E,E,<,3,F,F,E,=,4,F,F,E
4,O,=,i,i,u,d,∅,/,fr,M,-,-,3,-,1,E,E,E,{,2,E,E,E,{,3,E,E,E,{,4,E,E,E
5,L,{,E,E,-,-,∅,/,-,-,-,-,-,-,1,E,E,E,{,2,E,E,E,{,3,E,E,E,{,4,E,E,E
8,O,{,i,i,fr,d,∅,/,fr,d,-,2,-,-,1,E,E,E,{,2,i,i,E,<,3,i,E,E,{,4,E,E,E
A,U,=,E,E,fr,d,∅,/,r,p,1,-,-,-,1,F,F,F,=,2,F,F,F,=,3,F,F,F,=,4,F,F,F
B1,O,=,i,i,fr,d,∅,/,fr,M,-,-,3,-,1,E,E,E,=,2,E,E,E,=,3,E,E,E,=,4,E,E,E
B2,U,=,E,i,u,p,∅,/,r,M,1,-,-,-,1,E,E,E,=,2,E,E,E,=,3,E,E,E,=,4,E,E,E
C,O,{,E,E,-,-,∅,/,-,-,-,-,-,-,1,E,i,i,=,2,E,i,i,=,3,E,i,i,=,4,E,i,i
D,O,{,i,i,t,d,∅,/,t,d,-,2,-,-,1,E,E,E,<,2,i,i,i,=,3,F,F,F,=,4,F,F,F
E,O,<,F,i,b,d,∅,/,t,d,1,2,3,-,1,i,F,F,=,2,i,F,F,=,3,i,F,F,=,4,i,F,F
F,O,{,i,i,t,d,∅,/,t,d,1,-,-,-,1,i,i,i,{,2,i,E,E,{,3,E,E,E,{,4,E,E,E
G,U,=,E,E,fr,p,∅,/,r,p,1,-,-,-,1,F,E,E,=,2,F,F,F,=,3,F,F,F,=,4,F,F,F
I,O,=,i,i,fr,d,∅,/,b,m,1,-,-,-,1,F,F,E,=,2,F,F,E,=,3,F,F,E,=,4,E,E,E
K,O,=,E,E,fr,d,∅,/,r,p,-,2,-,-,1,E,E,E,<,2,F,E,E,=,3,F,F,E,=,4,F,F,E
L,L,{,E,E,-,-,∅,/,-,-,-,-,-,-,1,E,E,E,<,2,F,F,F,=,3,F,F,F,=,4,F,F,F
M,O ,=,F,i,fr,d,∅,/,r,p,-,-,-,4,1,F,i,i,=,2,F,i,i,=,3,F,i,i,=,4,F,F,E
N,O,=,i,i,fr ,d,∅,/,r,p,-,-,3 ,-,1,F,i,i,=,2,F,i,i,<,3,F,F,E,=,4,F,F,E
O,O,{,i,i,t,d,∅,/,t,d,1,2,- ,-,1,i,i,i,=,2,i,i,i,=,3,i,i,i,=,4,i,i,i
R,O,= ,i,i,fr,d,∅,/,b,m,-,-,3,-,1,E,E,E,x,2,E,i,i,<,3,F,F,E,=,4,F,F,E
S,O,=,i,i,fr,d,∅,/,b,m,-,2,-,-,1,F,F,F,=,2,F,F,F,=,3,F,F,F,=,4,F,F,F
Standard Base Handshape ,U, <,E,E,-,-,∅,/,-,-,-,-,-,-,1,i,E,E,=,2,i,E,E,=,3,i,E,E,=,4,i,E,E
T,O ,=,i,E,fr,d,∅,/,r,p,-,2,-,-,1,i,F,i,<,2,F,F,F,=,3,F,F,F,=,4,F,F,F
U,O,{,i,i,fr,d,∅,/,b,d,-,-,3,-,1,E,E,E,=,2,E,E,E,<,3,i,i,i,=,4,i,i,i
V,O,{,i,i,fr,d,∅,/,b,d,-,-,3,-,1,E,E,E,{,2,E,E,E,<,3,i,i,i,=,4,i,i,i
W,O,{,i,i,fr,d,∅,/,fr,d,-,-,-,4,1,E,E,E,{,2,E,E,E,{,3,E,E,E,<,4,i,i,i
X,O,=,i,i,fr,d,∅,/,b,m,-,2,-,-,1,E,F,i,<,2,F,F,F,=,3,F,F,F,=,4,F,F,F
Y,L,{,E,E,-,-,∅,/,-,-,-,-,-,-,1,F,F,E,=,2,F,F,E,=,3,F,F,E,<,4,E,E,E
